wpm,ac,r,t,sl,tid,gn,np,pts
134.74,0.99,1,1641338327.123,L6,3620279,1927,5,74.11
128.94,0.99,2,1641338299.025,L6,3810949,1926,4,143.98
140.18,0.98,1,1641338242.631,L6,3810381,1925,5,116.82
135.82,0.99,1,1641338204.832,L6,12,1924,5,56.59
109.25,0.97,2,1641245802.006,L6,3640246,1923,5,80.12
135.59,0.99,1,1641233843.278,L5,4180383,1922,5,81.35
121.92,0.98,2,1641233813.95,L6,3621143,1921,5,85.34
125.72,0.98,3,1641233780.505,L6,4350331,1920,4,117.34
125.79,0.99,2,1641233738.284,L6,2,1919,2,102.73
112.74,0.98,3,1641233693.392,L6,3622374,1918,5,37.58
